seed,severity,naive_mae,gcomp_mae,naive_bias,gcomp_bias,naive_strong,gcomp_strong,strong_gap,overall_gap
7,0.4,0.07817314497672151,0.07393194093513701,-0.019364346526086016,-0.025916627700029598,0.10673453113263201,0.08111223342967318,0.025622297702958832,0.004241204041584498
13,0.4,0.08828091415837228,0.0822317050600714,-0.014518517602018978,-0.019904481758179667,0.0962051922587251,0.07452060118313766,0.021684591075587442,0.006049209098300881
42,0.4,0.08730323660141125,0.08324420880779192,-0.020104263135104865,-0.025222923183114206,0.07335323353507325,0.0598097726137191,0.013543460921354153,0.00405902779361933
101,0.4,0.08296970137573649,0.08209413375941492,-0.02184458261301491,-0.026185184821799976,0.11262167306613813,0.09551268989771465,0.017108983168423478,0.0008755676163215709
2026,0.4,0.08706594152590288,0.08692048647903405,-0.03655929097528606,-0.04341491942630102,0.10510398217703802,0.08736673049639211,0.01773725168064591,0.00014545504686883093
7,1.0,0.0878493105633389,0.08774491422688571,-0.024647920629144317,-0.02460756896070232,0.12147336969231932,0.12036343813744399,0.0011099315548753347,0.00010439633645319135
13,1.0,0.10063933213605493,0.10072298788393255,-0.01865807981704352,-0.018620498789638156,0.09557641747781785,0.09624461451027469,-0.0006681970324568381,-8.365574787762287e-05
42,1.0,0.09331451728244677,0.09212831219308604,-0.024753813136593715,-0.027132325994029767,0.07996321373537701,0.07620510064986497,0.0037581130855120493,0.0011862050893607368
101,1.0,0.09090443551456226,0.09072854330147992,-0.025783607844606836,-0.026576222000337463,0.12705351126666659,0.12570252921077438,0.001350982055892208,0.00017589221308234038
2026,1.0,0.09488672009839702,0.09423262881152157,-0.039247398654379095,-0.04004277508176628,0.10149288339741676,0.09679591339777394,0.004696969999642822,0.0006540912868754495
