seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
1000,flat,0,0.0,0.4,True,0.021819776653979054,0.03687890042821264,0.02401913423445092,0.012459377662336537,,0.010983649129919889,,0.0
1000,flat,1,0.2,0.4,True,0.03188823261043208,0.03377319366645294,0.03640187247217559,0.018296891582700613,,0.017319255609511572,,0.0
1000,flat,2,0.4,0.4,True,0.08651594659660489,0.05719898988805335,0.0504016677743344,0.019770670878363372,,0.02142674201965875,,0.0
1000,flat,3,0.6,0.4,False,0.22004137235377239,0.20980996086014786,0.23284338250031397,0.030081360380914877,,0.02903116379107057,,0.0
1016,flat,0,0.0,0.4,True,0.03230854176951571,0.03624865095508822,0.02568430189386014,0.007180785295520471,,0.009854723630126173,,0.0
1016,flat,1,0.2,0.4,True,0.0516307226651639,0.056177570798832635,0.04867224244903246,0.015949573142051678,,0.014228814197288291,,0.0
1016,flat,2,0.4,0.4,True,0.0728133125863891,0.08454530685826406,0.04926387162788442,0.020202424141576428,,0.021440772377129054,,0.0
1016,flat,3,0.6,0.4,False,0.2012413996825848,0.17059858070209968,0.19270406353916764,0.02935334005183941,,0.029436338933172962,,0.0
1032,flat,0,0.0,0.4,True,0.03112362512843315,0.03209183637585377,0.044517265186465926,0.009097435334102184,,0.008490354730510869,,0.0
1032,flat,1,0.2,0.4,True,0.03257333143411336,0.029447042252996946,0.045427439311735596,0.013319491149291873,,0.010970569471236842,,0.0
1032,flat,2,0.4,0.4,True,0.06845823620806683,0.06443445399190567,0.09757751789374323,0.021486038957911575,,0.019767866025168106,,0.0
1032,flat,3,0.6,0.4,False,0.2097866344119225,0.19688905318898592,0.21133345874600137,0.027770157635293294,,0.02706084201756513,,0.0
1048,flat,0,0.0,0.2,True,0.02801854242331776,0.02878577049620672,0.04845597707931081,0.007881521167257493,,0.008656555805753034,,0.0
1048,flat,1,0.2,0.2,True,0.06190561670198768,0.047092765450840665,0.058364098093393164,0.01591829049771771,,0.014875315873089042,,0.0
1048,flat,2,0.4,0.2,False,0.11796782024797692,0.10686252771241435,0.09533796717017724,0.023576637442927078,,0.021381565905667022,,0.0
1064,flat,0,0.0,0.2,True,0.027983473971361802,0.0263382446427392,0.024468511486652897,0.008658846261100863,,0.010163105906336956,,0.0
1064,flat,1,0.2,0.2,True,0.05033595111778296,0.04580988256955822,0.06075116630720681,0.01590021774910405,,0.015436294990149098,,0.0
1064,flat,2,0.4,0.2,False,0.11905499366127781,0.10572972746896614,0.0955052575182852,0.022053795789297642,,0.021917708718052917,,0.0
1080,flat,0,0.0,0.4,True,0.026233383610985057,0.025689802610635654,0.02608138787354046,0.007844373897979165,,0.004336551035812257,,0.0
1080,flat,1,0.2,0.4,True,0.037108644430602106,0.018774662912830392,0.04560651577456836,0.015992352231775253,,0.015736199161632734,,0.0
1080,flat,2,0.4,0.4,True,0.08872747437954065,0.08956425557209893,0.09007385347312998,0.023489706541213996,,0.025145849348669758,,0.0
1080,flat,3,0.6,0.4,False,0.22294008236042984,0.20728719780098365,0.16791442300457254,0.02820756603235173,,0.02697817853309856,,0.0
1096,flat,0,0.0,0.4,True,0.03056176405965159,0.02595086925211661,0.022978414366228748,0.01073132430634684,,0.010149738320177982,,0.0
1096,flat,1,0.2,0.4,True,0.060153270963835,0.061526881743429754,0.0492332097583716,0.016918877911638923,,0.015982331094451966,,0.0
1096,flat,2,0.4,0.4,True,0.06572161302210403,0.06641308244704906,0.11469345026723551,0.018667257005822516,,0.01971045274592538,,0.0
1096,flat,3,0.6,0.4,False,0.17069485724750397,0.15778106750641413,0.18167091343331082,0.0238858588192428,,0.022875985908703995,,0.0
1112,flat,0,0.0,0.4,True,0.016537612641437997,0.018270693662202405,0.03407740578702978,0.007426559549845281,,0.008837125555711551,,0.0
1112,flat,1,0.2,0.4,True,0.05892529888545949,0.05608594415663108,0.05141472456526197,0.014765757009780618,,0.01464410726272225,,0.0
1112,flat,2,0.4,0.4,True,0.09313415633124607,0.07132905263946057,0.09596118594185513,0.019843035686746342,,0.01784093953193703,,0.0
1112,flat,3,0.6,0.4,False,0.18312064356194943,0.19047418283444892,0.1794138749941411,0.02043044600871096,,0.020513493127793284,,0.0
1128,flat,0,0.0,0.2,True,0.025181513634557548,0.029131025649437925,0.04402955470164335,0.011920424895988758,,0.013028431589872293,,0.0
1128,flat,1,0.2,0.2,True,0.02196670427538781,0.021272987093820347,0.027068494238384713,0.015185137679788897,,0.01606310635627935,,0.0
1128,flat,2,0.4,0.2,False,0.11440188320560125,0.10749696224339353,0.09252647514028219,0.022282285423767235,,0.019349743671254787,,0.0
1144,flat,0,0.0,0.4,True,0.021112960767353244,0.02916939248553598,0.027658349242265286,0.008274809325837771,,0.00789973959844827,,0.0
1144,flat,1,0.2,0.4,True,0.06333435326311153,0.05718603846977943,0.05767439089864109,0.01595211568544949,,0.01642844916488314,,0.0
1144,flat,2,0.4,0.4,True,0.10861321479501702,0.09996068942489704,0.061465379260158104,0.018481102009359155,,0.018620295732713593,,0.0
1144,flat,3,0.6,0.4,False,0.20296608475595523,0.20236442860446396,0.21655376958790473,0.03535205813327018,,0.032613130754541475,,0.0
1160,flat,0,0.0,0.2,True,0.016167133806346833,0.01921860366165907,0.015451092171839024,0.009725450547086336,,0.010975351382102618,,0.0
1160,flat,1,0.2,0.2,True,0.03715333498191744,0.02802953652737012,0.047856576028044766,0.00851059245308367,,0.01474157645968897,,0.0
1160,flat,2,0.4,0.2,False,0.1275971490713606,0.1168561936889581,0.09101186089627893,0.015432397478452563,,0.015445800675256869,,0.0
1176,flat,0,0.0,0.2,True,0.029280041867462796,0.02270972812833195,0.030747701655062343,0.013759618191085204,,0.013724108381100874,,0.0
1176,flat,1,0.2,0.2,True,0.04331675979725453,0.03824264576668092,0.02814905495773396,0.009291628040448644,,0.01039327389560114,,0.0
1176,flat,2,0.4,0.2,False,0.1283710000419013,0.128323211954625,0.1285786504964631,0.024216030225635933,,0.023870922875662892,,0.0
1192,flat,0,0.0,0.4,True,0.014934108970173474,0.03139948573692894,0.05094252266714686,0.006982615643304187,,0.007687573574447715,,0.0
1192,flat,1,0.2,0.4,True,0.04150711824727826,0.037991113169244875,0.038139193355757633,0.015756264368886302,,0.013421418017895374,,0.0
1192,flat,2,0.4,0.4,True,0.08857769933735303,0.08996626621408164,0.08071489482727756,0.021519303744771567,,0.01970829497844241,,0.0
1192,flat,3,0.6,0.4,False,0.17423069305795483,0.1568091905394989,0.22145817445732607,0.021810369507531735,,0.023029723566350777,,0.0
1208,flat,0,0.0,0.4,True,0.02947675916401253,0.03907039458314017,0.01617660980226772,0.008903899567459872,,0.010502975449883843,,0.0
1208,flat,1,0.2,0.4,True,0.06261250298970802,0.05469772811439321,0.04140290555995852,0.01972782019718232,,0.015898659222851354,,0.0
1208,flat,2,0.4,0.4,True,0.0715025648462399,0.06037601606155738,0.08473939993938977,0.01976050309441986,,0.01754953234932139,,0.0
1208,flat,3,0.6,0.4,False,0.20836683302776735,0.21743287728792238,0.20029943881232906,0.029669447470408943,,0.02858278159194262,,0.0
1224,flat,0,0.0,0.4,True,0.0281667037532055,0.02513954200701817,0.043096042366551214,0.007160003671496263,,0.0074510176108139895,,0.0
1224,flat,1,0.2,0.4,True,0.05781665607999324,0.060638469236329054,0.035723385646060195,0.014387138064264088,,0.014535255759706024,,0.0
1224,flat,2,0.4,0.4,True,0.07672124509128857,0.06683434082270576,0.11369335883842174,0.022292870013605005,,0.023952247341598475,,0.0
1224,flat,3,0.6,0.4,False,0.1828964567272826,0.16767575914560878,0.2045377634926023,0.02697350311429195,,0.02680455975766607,,0.0
1240,flat,0,0.0,0.4,True,0.021319123183602233,0.021195118114879234,0.009268654885284945,0.005692181062853368,,0.0061367333405490925,,0.0
1240,flat,1,0.2,0.4,True,0.04774178456144082,0.04235659127527904,0.049707603017016766,0.017083465491041568,,0.01666483834970575,,0.0
1240,flat,2,0.4,0.4,True,0.0614721223364594,0.06546868585482046,0.10479646113422028,0.019609644378220565,,0.018147517509801404,,0.0
1240,flat,3,0.6,0.4,False,0.22604045621895236,0.21952378184752722,0.21146137479741908,0.027157738814520438,,0.02599103691085321,,0.0
1256,flat,0,0.0,0.4,True,0.01993783433766033,0.022066577551269673,0.017127649112369928,0.008898684256308423,,0.007023358010163016,,0.0
1256,flat,1,0.2,0.4,True,0.03535196599796099,0.03260564452598498,0.05127129882614271,0.013766183094508333,,0.01656800303388081,,0.0
1256,flat,2,0.4,0.4,True,0.09552230504737216,0.07308289012029945,0.11064392176032216,0.024007827656547947,,0.026879966967511257,,0.0
1256,flat,3,0.6,0.4,False,0.16154109019858362,0.1569996430038438,0.1880615929716695,0.01971823259807963,,0.017695716146442095,,0.0
1272,flat,0,0.0,0.4,True,0.01863124126423038,0.018135304787891438,0.023411129808853657,0.0042569161670656455,,0.00812837496054348,,0.0
1272,flat,1,0.2,0.4,True,0.04097493799436082,0.03292073427712793,0.03486916675246035,0.016716991256698996,,0.01712188766410841,,0.0
1272,flat,2,0.4,0.4,True,0.11329993074676546,0.09985296941891068,0.09540642410829674,0.02149608267133403,,0.020841501952586414,,0.0
1272,flat,3,0.6,0.4,False,0.1940943713153177,0.18568311910767812,0.19146427663279858,0.024464310934613032,,0.02390764774377678,,0.0
1288,flat,0,0.0,0.4,True,0.011571726197831145,0.009493582451662302,0.0305908927677037,0.01044761865382452,,0.010999722126186988,,0.0
1288,flat,1,0.2,0.4,True,0.05030267050061209,0.04191258312174853,0.057376683439358075,0.019634674481658662,,0.01914948127321249,,0.0
1288,flat,2,0.4,0.4,True,0.1077447946775334,0.09670170716462416,0.10430421261141208,0.02247291438354045,,0.02290352621600984,,0.0
1288,flat,3,0.6,0.4,False,0.17867016300504152,0.1789541822937544,0.20358291439313206,0.027862798279162864,,0.024074850342050307,,0.0
1304,flat,0,0.0,0.4,True,0.0255006776343097,0.02597017793682968,0.03246992033783338,0.006924628702303889,,0.0022830847235386594,,0.0
1304,flat,1,0.2,0.4,True,0.03669355327174004,0.02838820326056825,0.028388938820745308,0.013310998421334947,,0.017406838812402816,,0.0
1304,flat,2,0.4,0.4,True,0.1281036663478452,0.09466104335054147,0.12223590228155878,0.019544865932845545,,0.018132391070907253,,0.0
1304,flat,3,0.6,0.4,False,0.2202785019145631,0.2147044262065294,0.1928435042966031,0.02871061732245874,,0.02726457430575821,,0.0
1320,flat,0,0.0,0.2,True,0.017702270569666594,0.016942117872843183,0.0405969222753981,0.009081615688380111,,0.008803632308055087,,0.0
1320,flat,1,0.2,0.2,True,0.05212624822165826,0.04779521012648087,0.02746129529962127,0.018488536984185358,,0.016593768934735787,,0.0
1320,flat,2,0.4,0.2,False,0.11739571942060559,0.10895781708543985,0.10312287667732087,0.02155473232096914,,0.02141579526808907,,0.0
1336,flat,0,0.0,0.2,True,0.015443142307307102,0.02628567072923883,0.02084924383600641,0.012427876361440616,,0.011447859760611113,,0.0
1336,flat,1,0.2,0.2,True,0.02542645762414188,0.02870050681775177,0.047208040620759624,0.015581858492598914,,0.017269264012678684,,0.0
1336,flat,2,0.4,0.2,False,0.11494827147082966,0.10354337147964288,0.09431295739903356,0.017732802131031684,,0.01609056050135823,,0.0
1352,flat,0,0.0,0.4,True,0.02208207735200116,0.04223139322148473,0.04056290128588826,0.008513074174288062,,0.009360868084613713,,0.0
1352,flat,1,0.2,0.4,True,0.0563921149086416,0.0568765435447571,0.04253675315360389,0.012393474121120825,,0.01210048080814655,,0.0
1352,flat,2,0.4,0.4,True,0.08852556257345603,0.08651869636171579,0.10304660274371517,0.023090618529586396,,0.02635159167907998,,0.0
1352,flat,3,0.6,0.4,False,0.18411824498047955,0.15560259447304073,0.1755844457420686,0.020340318789941924,,0.01862665009988303,,0.0
1368,flat,0,0.0,0.4,True,0.03142040887616577,0.01907021505393245,0.028230434377888074,0.011774163417241414,,0.01112941057774144,,0.0
1368,flat,1,0.2,0.4,True,0.053077241372507834,0.041040458268268104,0.04099921457385971,0.014468576723530451,,0.013883167430338541,,0.0
1368,flat,2,0.4,0.4,True,0.07573536994681711,0.0718776318368174,0.08943420383688083,0.020090898461933016,,0.021189118809340907,,0.0
1368,flat,3,0.6,0.4,False,0.16601660693363365,0.20318498692411005,0.16928498229835148,0.02562361101441987,,0.02406173514162071,,0.0
1384,flat,0,0.0,0.4,True,0.036014605496959326,0.019383491708024073,0.034144927698824795,0.013138125840547214,,0.01258566585285538,,0.0
1384,flat,1,0.2,0.4,True,0.03364329404080338,0.03378788230659584,0.03805726252477573,0.01652430155166726,,0.01420682039604354,,0.0
1384,flat,2,0.4,0.4,True,0.10640071537932314,0.08485400742574964,0.07831115886527269,0.016849374190663916,,0.017750680003613056,,0.0
1384,flat,3,0.6,0.4,False,0.19886732904207677,0.1966890558549179,0.20523733576811354,0.028997179756233206,,0.027927554084628273,,0.0
1000,scm,0,0.0,0.4,True,0.035062939260833294,0.027245461756303754,0.02115374384481322,0.018494827794438125,0.04329703303230375,0.01722846795180362,0.04266432473421642,0.0
1000,scm,1,0.2,0.4,True,0.05355775316714201,0.03935699602931909,0.03937522529257723,0.02800820125000255,0.027479991642846105,0.02881310287710761,0.0270388578665597,0.0
1000,scm,2,0.4,0.4,True,0.09392284039883297,0.06861916212762709,0.11102989077934738,0.039592610356992686,0.01614457895639124,0.03908551744710235,0.01625152623683165,0.0
1000,scm,3,0.6,0.4,False,0.2789892063539772,0.26027658157712064,0.2530568262625497,0.049356524166997304,0.006524908135398574,0.04904307926057976,0.006923292645978228,0.0
1016,scm,0,0.0,0.4,True,0.02273958806010104,0.027165666045421335,0.027202834707042677,0.022588866885676594,0.04139819927959337,0.023310446793973365,0.041919343631601214,0.0
1016,scm,1,0.2,0.4,True,0.04283677114943689,0.04453529797728706,0.03319858807643032,0.030219618946425414,0.030634237973220745,0.029884554712069994,0.030460036789770183,0.0
1016,scm,2,0.4,0.4,True,0.08239093547087925,0.06749139080803121,0.10021963644917445,0.04135847676095951,0.016280170191212473,0.04142919032093241,0.01722440269609601,0.0
1016,scm,3,0.6,0.4,False,0.25121811496441665,0.23126783968600484,0.2311190011156733,0.04878997054508484,0.006210537390574463,0.046883842280315856,0.00384589272816252,0.0
1032,scm,0,0.0,0.4,True,0.034317905011996566,0.029881390061980505,0.02246880239239667,0.019605556799308234,0.04088569300739011,0.020246807218143453,0.039812203099055594,0.0
1032,scm,1,0.2,0.4,True,0.025183026845572477,0.03150671443911994,0.03467927527476567,0.02609699061169097,0.03161737073451477,0.024205236975638172,0.03251048454110552,0.0
1032,scm,2,0.4,0.4,True,0.08440664103246188,0.07448717870182549,0.09997655525312196,0.03998674253244541,0.020905692305471055,0.04239748564813776,0.020506466557960658,0.0
1032,scm,3,0.6,0.4,False,0.222086506336854,0.22713133133676025,0.293297162283112,0.057474480120923085,0.0020763826121528136,0.05495232612918317,0.0009224617791148814,0.0
1048,scm,0,0.0,0.4,True,0.025240021567689917,0.023195036034074846,0.03653996228738699,0.021581292546104042,0.04126030783605936,0.02060088627203535,0.04007266834841778,0.0
1048,scm,1,0.2,0.4,True,0.036512530872379004,0.030032218928034385,0.032832229154647286,0.02936250632997211,0.034646162757259256,0.029807733519811398,0.03588925030934425,0.0
1048,scm,2,0.4,0.4,True,0.11610435668040739,0.08640138863715416,0.113125850509332,0.04153436517977414,0.016188707974862316,0.042666389132234306,0.01471933830568046,0.0
1048,scm,3,0.6,0.4,False,0.2711056052758879,0.23705214878047637,0.22843021113550066,0.050207238197550366,0.0027879612828988157,0.049863797000477814,0.0028102389697020544,0.0
1064,scm,0,0.0,0.2,True,0.03230325799950507,0.026121725380551367,0.026656935779158467,0.016591011321221448,0.03976367120272456,0.01585588899198611,0.038829391517953574,0.0
1064,scm,1,0.2,0.2,True,0.05343751201913529,0.041677168610765015,0.05366554469053858,0.03090142542242707,0.029810304920913567,0.029722115894390274,0.030357128634790637,0.0
1064,scm,2,0.4,0.2,False,0.11693959706195681,0.10832793144701973,0.12475859709275232,0.04141404851108782,0.015123396060620893,0.04160070234201936,0.015573714212730114,0.0
1080,scm,0,0.0,0.4,True,0.013185656225465258,0.02907643508059084,0.03151043023974396,0.018417863190440295,0.04192975506322153,0.019302929202608732,0.04216567229592346,0.0
1080,scm,1,0.2,0.4,True,0.06284914145677635,0.05142853374409326,0.05274850804168503,0.028876198827786186,0.02686728794626359,0.02826990373120441,0.027777990998842608,0.0
1080,scm,2,0.4,0.4,True,0.09170648399307563,0.07493763316530842,0.11190094156174211,0.04021426754632662,0.021205049599975406,0.04301396935879559,0.020457967139821266,0.0
1080,scm,3,0.6,0.4,False,0.26173289893277724,0.2437209318610397,0.27649130620198664,0.04554153368721055,0.0029089145117747297,0.04557773848284265,0.003152550807290726,0.0
1096,scm,0,0.0,0.2,True,0.0251548929206114,0.022199836589575438,0.022636490090354275,0.019742149556524743,0.04192834282088689,0.02051734099638048,0.04124933530475174,0.0
1096,scm,1,0.2,0.2,True,0.03488744984595896,0.029566795475388825,0.04441859650906873,0.027683350728012413,0.03191030873949368,0.027557564158138356,0.03251994291159994,0.0
1096,scm,2,0.4,0.2,False,0.12559518640607203,0.1214476392413792,0.133221152089833,0.04371425536246334,0.019850610896067083,0.042824181659139156,0.019354523736349057,0.0
1112,scm,0,0.0,0.2,True,0.016826643023587783,0.013041669854246872,0.024319331706897568,0.017208411728877535,0.04514198474042934,0.01849932812545676,0.045486230210289934,0.0
1112,scm,1,0.2,0.2,True,0.0487501290264207,0.04564104330752061,0.046266184191618404,0.026351859098109325,0.028994488559626098,0.025620214362767027,0.029044007129718337,0.0
1112,scm,2,0.4,0.2,False,0.13001606480698477,0.12307007134614308,0.1124737615145438,0.042853203272946325,0.014275948334171685,0.0425877135224743,0.014562075998988191,0.0
1128,scm,0,0.0,0.2,True,0.04589181866038755,0.04069369796692377,0.03698514149742625,0.01232903831975367,0.03931727885016529,0.01356752504112799,0.03917363351145049,0.0
1128,scm,1,0.2,0.2,True,0.031061935189021495,0.03094492856901372,0.03865033812870267,0.027001368047014886,0.0336992147486792,0.026288898328990833,0.033490221474454324,0.0
1128,scm,2,0.4,0.2,False,0.13705090637608236,0.11985994422046359,0.14472979669688393,0.04244588590192142,0.01558071090159863,0.04293001758456981,0.015437578170508868,0.0
1144,scm,0,0.0,0.4,True,0.025794944103113393,0.01765879405650438,0.030553081345761485,0.017646099842141143,0.04311766250914017,0.0167434413866187,0.04272532414865043,0.0
1144,scm,1,0.2,0.4,True,0.04073340371927746,0.038401460501351924,0.046038640970375834,0.03138710175427313,0.034295849532771504,0.030846623902339478,0.032528820556394035,0.0
1144,scm,2,0.4,0.4,True,0.10847229414719933,0.09050811187106604,0.15058435722489297,0.04613127177700946,0.015562935955066927,0.04671887833556272,0.014545693352211815,0.0
1144,scm,3,0.6,0.4,False,0.26399806431858774,0.2611122761911216,0.25778699362910085,0.04690607246464937,0.0017198449576298974,0.0465347492515591,0.0015971143855325908,0.0
1160,scm,0,0.0,0.4,True,0.031214615151822025,0.03228512141776748,0.027715961956591935,0.020281791786902773,0.03617591377563221,0.015739126595090504,0.0364072381908231,0.0
1160,scm,1,0.2,0.4,True,0.030272714223608842,0.026948424452211954,0.05119403957583482,0.03038592044897722,0.03290794169884272,0.0314975685131099,0.03144155544026976,0.0
1160,scm,2,0.4,0.4,True,0.09355624786898162,0.07736983117319775,0.08982467246081183,0.042499771168145975,0.017455442192114673,0.04163686941321312,0.017076228927266707,0.0
