unobserved_strength,seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
0.0,1000,flat,0,0.0,0.4,True,0.02191484439441284,0.025589870678120748,0.01197972128992369,0.013830563548341501,,0.012715963243841902,,0.0
0.0,1000,flat,1,0.2,0.4,True,0.02675003304854674,0.03907079277133879,0.038542843546783806,0.01772744954925082,,0.014782305046734718,,0.0
0.0,1000,flat,2,0.4,0.4,True,0.102155058288205,0.09142656952239706,0.07351241653556811,0.023001617815953532,,0.0233315776104113,,0.0
0.0,1000,flat,3,0.6,0.4,False,0.17311760250556657,0.1400464537715971,0.18277148220440947,0.027459837310401258,,0.027808319783359507,,0.0
0.0,1016,flat,0,0.0,0.4,True,0.024047397031297536,0.028289787727609574,0.031316958542470734,0.010229805836618039,,0.009609372375098381,,0.0
0.0,1016,flat,1,0.2,0.4,True,0.06483026171232698,0.05819605771622183,0.0397206115639951,0.020634856722457642,,0.019938689933548394,,0.0
0.0,1016,flat,2,0.4,0.4,True,0.021341814142781884,0.03700278061588085,0.0559512748631962,0.02470228595418092,,0.023328373517311075,,0.0
0.0,1016,flat,3,0.6,0.4,False,0.12091350167479072,0.1020143628204336,0.13718438522622986,0.02582178264009133,,0.027169241286432687,,0.0
0.0,1032,flat,0,0.0,0.4,True,0.025680315564333804,0.028921843817811852,0.043988644749350596,0.010288173168601363,,0.00923539171332253,,0.0
0.0,1032,flat,1,0.2,0.4,True,0.03478385587588587,0.02214918071790905,0.025321644449302634,0.015840271147370306,,0.01584571979154312,,0.0
0.0,1032,flat,2,0.4,0.4,True,0.05116284466038834,0.06512137672672107,0.05600376671210773,0.021047990197709622,,0.020371647514075535,,0.0
0.0,1032,flat,3,0.6,0.4,False,0.17036755064987008,0.15626326162079723,0.19201274887989928,0.02527809417185025,,0.024583426821377454,,0.0
0.0,1048,flat,0,0.0,0.4,True,0.018950952715521874,0.02378556463098418,0.02944882195307073,0.009062880899980998,,0.00848050445174637,,0.0
0.0,1048,flat,1,0.2,0.4,True,0.04650190660188954,0.042163964151723486,0.056512128103316725,0.017845455497868267,,0.018567059177156175,,0.0
0.0,1048,flat,2,0.4,0.4,True,0.08780502340378851,0.07087668624964133,0.09684754673141405,0.024615491501048345,,0.024196606184914884,,0.0
0.0,1048,flat,3,0.6,0.4,False,0.19054653488982856,0.19042412743446102,0.16030390230455935,0.02368233822786151,,0.0214398368633709,,0.0
