unobserved_strength,seed,severity,naive_mae,gcomp_mae,naive_bias,gcomp_bias,naive_strong,gcomp_strong,strong_gap,overall_gap
0.0,1000,0.4,0.09432778145439631,0.091007746978568,-0.025802426415411767,-0.03238703930592274,0.11140451618887855,0.09969486951288076,0.01170964667599779,0.003320034475828307
0.0,1016,0.4,0.08977953264613925,0.08615258369958623,-0.037071309598554494,-0.04615473896751208,0.09771297765164949,0.07764679788432444,0.020066179767325054,0.0036269489465530214
0.0,1032,0.4,0.09061090757487483,0.08683057844817942,-0.022970369347970913,-0.03350111343716563,0.09587370796488474,0.07703675947711741,0.018836948487767333,0.003780329126695417
0.0,1048,0.4,0.09020008715858424,0.09613450172679276,-0.03627612278300439,-0.045445272012854615,0.06561591612651911,0.06288127733783866,0.002734638788680452,-0.005934414568208521
0.0,1064,0.4,0.08991503659116783,0.08855208906419715,-0.02599485622832979,-0.029966367183344646,0.08939660189749643,0.08272274318095668,0.006673858716539749,0.0013629475269706787
0.0,1080,0.4,0.08825703879092425,0.08444613618641578,-0.018136857819117894,-0.024227670253739474,0.11739153841905593,0.08854109963776897,0.028850438781286958,0.003810902604508476
0.0,1096,0.4,0.08551207890849999,0.08347874299611215,-0.03379828470263685,-0.039059784182012135,0.08755220220705293,0.07234656802085301,0.015205634186199912,0.002033335912387843
0.0,1112,0.4,0.0769459428277006,0.07441711785300564,-0.02568944935431193,-0.030497490744002282,0.11516630741628746,0.08961118482695606,0.025555122589331403,0.0025288249746949626
0.0,1128,0.4,0.07954820617400252,0.07725193975062668,-0.02432059425739041,-0.025475839894505643,0.09998854013100994,0.0958923341984806,0.004096205932529337,0.0022962664233758395
0.0,1144,0.4,0.08011313335889024,0.07814730824041115,-0.026597252435529475,-0.031141085184403956,0.08465497413072877,0.07122952494112347,0.013425449189605296,0.001965825118479092
0.0,1160,0.4,0.07839616053145795,0.07611620358781661,-0.028769593076462804,-0.03202829818250718,0.1035975024392147,0.08885631033387048,0.01474119210534422,0.0022799569436413453
0.0,1176,0.4,0.1030057790249242,0.0972480249523236,-0.01486970834158016,-0.025866805782628177,0.12838440050269945,0.1020076652268234,0.026376735275876043,0.005757754072600596
0.0,1192,0.4,0.09325780086655963,0.08752249972670699,-0.024717788724223994,-0.0314842467519737,0.111411111191777,0.09235681641294384,0.019054294778833164,0.0057353011398526416
0.0,1208,0.4,0.08573937201158023,0.08549430352780278,-0.02738779426397561,-0.034243884324379734,0.08931875238822955,0.0833112911170774,0.006007461271152148,0.0002450684837774497
0.0,1224,0.4,0.07426262150607683,0.07052946018953124,-0.007202212275084654,-0.02253837196606977,0.0939870512566483,0.07198098331975585,0.022006067936892457,0.003733161316545594
0.0,1240,0.4,0.07577463561917012,0.07251179493119192,-0.018188610630765326,-0.018770670074124744,0.12566093251123944,0.10124966087793999,0.024411271633299453,0.003262840687978205
0.0,1256,0.4,0.08566523743263654,0.08728102547765482,-0.024641431664789708,-0.0338360404120728,0.07262778032543603,0.07662145497415036,-0.003993674648714335,-0.0016157880450182738
0.0,1272,0.4,0.08369525827829313,0.0820207242740777,-0.011119972469635595,-0.01874662049990379,0.133740121281271,0.1264577432306127,0.007282378050658289,0.0016745340042154389
0.0,1288,0.4,0.08397121586935007,0.08074306791786802,-0.026457459628702065,-0.03166547898140626,0.1058140526136239,0.08242717334016676,0.02338687927345713,0.0032281479514820466
0.0,1304,0.4,0.0892081092455516,0.08508190280577284,-0.023381307135480287,-0.02918974146847441,0.12235827065420116,0.09797422921436423,0.024384041439836926,0.004126206439778762
0.0,1320,0.4,0.08357590179551586,0.07988974818894289,-0.027333577485413554,-0.030610764793700396,0.10089790117998888,0.08456636189067167,0.016331539289317215,0.00368615360657297
