iteration,selection_severity,base_rate,approval_rate,naive_declined_ece,naive_declined_mean_pd,naive_declined_base_rate,naive_declined_auc,control_metric,passed,reweight_declined_ece,reweight_declined_mean_pd,retrain_declined_ece,retrain_train_seed,diag_propensity_auc,diag_ess_ratio,diag_below_floor,diag_flagged,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,retrain_declined_empc,retrain_declined_emp_h,naive_declined_empc_fraction,naive_declined_emp_h_fraction,naive_declined_f1_emp_cutoff,naive_all_empc,naive_all_emp_h
0,0.0,0.1703,0.6,0.0361,0.1868,0.1812,0.8611,0.0359,True,0.0359,0.1907,0.0301,1042,0.8037,0.9893,0.0,False,0.021747,0.038668,0.02186,0.040339,0.023367,0.03979,0.899123,0.648125,0.532151,0.026882,0.048671
1,0.2,0.1762,0.6,0.0398,0.2063,0.2394,0.8573,0.0378,True,0.0378,0.2105,0.0499,1043,0.7859,0.9726,0.0,False,0.033124,0.029698,0.031264,0.026478,0.030899,0.025888,0.85783,0.51875,0.544262,0.027397,0.04544
2,0.4,0.1745,0.6,0.1123,0.2127,0.3044,0.7972,0.0969,True,0.0969,0.2198,0.1145,1044,0.82,0.9174,0.0013,False,0.041588,0.01393,0.042168,0.015039,0.042988,0.017157,0.824055,0.329375,0.517555,0.021776,0.044909
3,0.6,0.1655,0.6,0.2728,0.0924,0.3569,0.6535,0.2439,False,0.2439,0.1129,0.2201,1045,0.9207,0.7982,0.075,True,0.042033,0.00236,0.039763,0.002153,0.046968,0.007504,0.743868,0.03875,0.430173,0.013523,0.033342
