seed,selection_severity,exploration_rate,generation,policy,funded_rate,funded_default_rate,declined_ece,declined_mean_pd,declined_base_rate,all_ece,diag_propensity_auc,diag_ess_ratio,diag_below_floor,diag_flagged,n_explored,explored_defaults,book_profit,explored_profit,declined_empc,declined_emp_h
42,1.0,0.0,0,prior,0.6,0.0158,0.3756,0.0263,0.4019,0.1507,0.9735,0.7851,0.2263,True,0,0,0.0469,0.0,0.0511,0.0004
42,1.0,0.0,1,model,0.6,0.1083,0.0571,0.2452,0.2781,0.0408,0.9571,0.9315,0.1019,True,0,0,0.0162,0.0,0.043,0.0243
42,1.0,0.0,2,model,0.6,0.0437,0.2754,0.0953,0.3706,0.1113,0.9958,0.9003,0.3425,True,0,0,0.0387,0.0,0.046,0.0012
42,1.0,0.0,3,model,0.6,0.0529,0.1886,0.1489,0.3344,0.0725,0.9847,0.8978,0.2319,True,0,0,0.036,0.0,0.043,0.0074
42,1.0,0.0,4,model,0.6,0.0596,0.1256,0.2163,0.3419,0.0589,0.9733,0.8695,0.2325,True,0,0,0.0344,0.0,0.0475,0.0119
42,1.0,0.0,5,model,0.6,0.0592,0.0898,0.2531,0.3412,0.0458,0.9895,0.9094,0.3588,True,0,0,0.0336,0.0,0.043,0.0048
42,1.0,0.05,0,prior,0.62,0.0262,0.1805,0.2422,0.4053,0.0431,0.9735,0.7851,0.2263,True,80,27,0.045,-0.0019,0.0556,0.0007
42,1.0,0.05,1,model,0.6205,0.0778,0.1161,0.2771,0.3373,0.0353,0.9752,0.9104,0.1825,True,82,21,0.0274,-0.0014,0.0412,0.008
42,1.0,0.05,2,model,0.6192,0.0925,0.108,0.3276,0.3079,0.0409,0.9044,0.8924,0.0838,True,77,30,0.023,-0.0025,0.044,0.0192
42,1.0,0.05,3,model,0.6248,0.0508,0.1047,0.331,0.3564,0.0518,0.9945,0.926,0.37,True,99,40,0.038,-0.0029,0.0409,0.0016
42,1.0,0.05,4,model,0.6208,0.0745,0.0624,0.276,0.3329,0.0228,0.9926,0.9399,0.3119,True,83,30,0.0298,-0.0019,0.0453,0.0143
42,1.0,0.05,5,model,0.618,0.0639,0.1751,0.1926,0.3469,0.0598,0.9917,0.9327,0.2919,True,72,22,0.0333,-0.0012,0.0419,0.0019
2026,0.4,0.0,0,prior,0.6,0.0783,0.1473,0.1627,0.31,0.0583,0.8366,0.9135,0.0056,False,0,0,0.0272,0.0,0.0417,0.0153
2026,0.4,0.0,1,model,0.6,0.05,0.1735,0.1772,0.3506,0.0662,0.9918,0.9058,0.2881,True,0,0,0.0377,0.0,0.0424,0.0031
2026,0.4,0.0,2,model,0.6,0.0575,0.1474,0.1816,0.3281,0.0608,0.9755,0.8399,0.22,True,0,0,0.035,0.0,0.0374,0.0051
2026,0.4,0.0,3,model,0.6,0.0546,0.2048,0.1389,0.3438,0.086,0.9753,0.864,0.2569,True,0,0,0.0339,0.0,0.0383,0.0017
2026,0.4,0.0,4,model,0.6,0.0525,0.2096,0.1335,0.3431,0.082,0.9915,0.9281,0.3094,True,0,0,0.036,0.0,0.044,0.0067
2026,0.4,0.0,5,model,0.6,0.0542,0.1864,0.1666,0.3513,0.0728,0.9808,0.9222,0.2819,True,0,0,0.0351,0.0,0.0425,0.0051
2026,0.4,0.05,0,prior,0.62,0.0859,0.0985,0.2197,0.3099,0.0331,0.8366,0.9135,0.0056,False,80,25,0.0257,-0.0015,0.0411,0.0143
2026,0.4,0.05,1,model,0.6202,0.0601,0.1133,0.2395,0.3502,0.0324,0.9852,0.9294,0.2919,True,81,22,0.0348,-0.0012,0.0406,0.0032
2026,0.4,0.05,2,model,0.6185,0.0675,0.1064,0.2495,0.325,0.0285,0.9875,0.8696,0.2025,True,74,26,0.0314,-0.0023,0.0383,0.0085
2026,0.4,0.05,3,model,0.6218,0.0643,0.1048,0.2754,0.3443,0.0449,0.9883,0.7684,0.2731,True,87,28,0.032,-0.002,0.0405,0.0021
2026,0.4,0.05,4,model,0.6225,0.0831,0.078,0.2547,0.3099,0.0242,0.9464,0.7965,0.0656,True,90,28,0.0286,-0.0018,0.0359,0.0056
2026,0.4,0.05,5,model,0.618,0.0765,0.1168,0.2821,0.3292,0.0401,0.9461,0.8393,0.1825,True,72,17,0.0286,-0.0004,0.0422,0.0098
2026,1.0,0.0,0,prior,0.6,0.0158,0.3757,0.0281,0.4037,0.1503,0.9724,0.8359,0.2238,True,0,0,0.0468,0.0,0.0522,0.0004
2026,1.0,0.0,1,model,0.6,0.1154,0.065,0.2035,0.2525,0.0338,0.9056,0.827,0.0138,True,0,0,0.0155,0.0,0.0307,0.023
2026,1.0,0.0,2,model,0.6,0.0442,0.1939,0.1545,0.3481,0.0771,0.9965,0.9499,0.3663,True,0,0,0.0389,0.0,0.0396,0.0019
2026,1.0,0.0,3,model,0.6,0.0696,0.09,0.2313,0.3212,0.0379,0.9611,0.7757,0.1737,True,0,0,0.0291,0.0,0.0415,0.0092
2026,1.0,0.0,4,model,0.6,0.0479,0.225,0.125,0.35,0.0899,0.9929,0.857,0.3794,True,0,0,0.0369,0.0,0.0436,0.0062
2026,1.0,0.0,5,model,0.6,0.0629,0.1236,0.239,0.3381,0.0452,0.9881,0.8946,0.2412,True,0,0,0.0315,0.0,0.0424,0.007
2026,1.0,0.05,0,prior,0.6225,0.0297,0.2168,0.252,0.404,0.0641,0.9724,0.8359,0.2238,True,90,36,0.0442,-0.0027,0.0532,0.0004
2026,1.0,0.05,1,model,0.6195,0.0767,0.125,0.2824,0.3226,0.0381,0.9801,0.8345,0.2062,True,78,23,0.0304,-0.0013,0.0391,0.0094
2026,1.0,0.05,2,model,0.6208,0.0624,0.1555,0.2241,0.3349,0.0573,0.9909,0.8981,0.2956,True,83,28,0.0345,-0.0023,0.0405,0.0053
2026,1.0,0.05,3,model,0.6218,0.076,0.062,0.2876,0.3252,0.0386,0.9142,0.8946,0.1725,True,87,27,0.028,-0.0018,0.0418,0.0071
2026,1.0,0.05,4,model,0.6222,0.0763,0.1011,0.2889,0.321,0.0379,0.9859,0.9,0.25,True,89,29,0.0297,-0.0019,0.0341,0.0032
2026,1.0,0.05,5,model,0.619,0.0864,0.0845,0.2549,0.3136,0.029,0.9516,0.8607,0.1169,True,76,18,0.026,-0.0005,0.0405,0.0115
