seed,selection_severity,exploration_rate,arm,generation,policy,funded_rate,funded_default_rate,book_profit,explored_profit,declined_ece,declined_mean_pd,declined_base_rate,all_ece,declined_empc,declined_emp_h,diag_propensity_auc,diag_ess_ratio,diag_below_floor,diag_flagged,n_explored,explored_defaults
1368,0.2,0.0,prior,9,model,0.6,0.1338,0.0107031882,0.0,0.0433,0.1965,0.2206,0.0161,0.0262,0.0306,0.7923,0.976,0.0,False,0,0
1368,0.2,0.0,prior,10,model,0.6,0.1421,0.0094055868,0.0,0.0297,0.1792,0.2019,0.0285,0.0238,0.038,0.8116,0.9788,0.0,False,0,0
1368,0.2,0.0,prior,11,model,0.6,0.1325,0.0090943836,0.0,0.0309,0.1839,0.2081,0.0231,0.0244,0.0323,0.778,0.9697,0.0,False,0,0
1368,0.2,0.05,treatment,0,prior,0.6195,0.1489,0.0053451245,-0.0004666016,0.0438,0.2221,0.224,0.0572,0.0272,0.0326,0.7796,0.977,0.0,False,78,19
1368,0.2,0.05,treatment,1,model,0.618,0.072,0.0295138825,-0.0025365426,0.1089,0.2484,0.3181,0.043,0.0397,0.0104,0.9517,0.8693,0.2031,True,72,31
1368,0.2,0.05,treatment,2,model,0.6168,0.0482,0.0376407169,-0.0020745917,0.121,0.3923,0.3438,0.0572,0.04,0.0027,0.987,0.9044,0.3563,True,67,26
1368,0.2,0.05,treatment,3,model,0.6212,0.0668,0.031334008,-0.0011362866,0.2018,0.1465,0.3327,0.0848,0.0435,0.0094,0.9877,0.9168,0.2281,True,85,23
1368,0.2,0.05,treatment,4,model,0.617,0.0673,0.0291460932,-0.0013865041,0.0743,0.2601,0.3303,0.0269,0.0455,0.0115,0.9735,0.7018,0.1663,True,68,22
1368,0.2,0.05,treatment,5,model,0.6198,0.0541,0.035141796,-0.0011488522,0.1102,0.2562,0.3458,0.0282,0.042,0.0033,0.9781,0.8979,0.2844,True,79,23
1368,0.2,0.05,treatment,6,model,0.6212,0.0644,0.0322135166,-0.0028928973,0.1435,0.2801,0.3373,0.0517,0.0425,0.0042,0.9864,0.9157,0.2863,True,85,34
1368,0.2,0.05,treatment,7,model,0.6185,0.053,0.0360376288,-0.001422427,0.1598,0.2045,0.3427,0.0527,0.043,0.0081,0.9851,0.9351,0.3075,True,74,23
1368,0.2,0.05,treatment,8,model,0.6215,0.0792,0.0283059728,-0.0016773931,0.1236,0.2576,0.3322,0.0491,0.0411,0.0075,0.9588,0.8159,0.135,True,86,27
1368,0.2,0.05,treatment,9,model,0.6205,0.0677,0.0318655697,-0.002774341,0.2495,0.5037,0.3333,0.1226,0.037,0.004,0.9896,0.8959,0.2425,True,82,36
1368,0.2,0.05,treatment,10,model,0.6198,0.071,0.0313879467,-0.0022583794,0.1406,0.3936,0.3208,0.0549,0.034,0.0058,0.9913,0.9153,0.3688,True,79,31
1368,0.2,0.05,treatment,11,model,0.6218,0.0639,0.0328600187,-0.0012222273,0.1419,0.3784,0.3252,0.0452,0.0382,0.0074,0.9927,0.9337,0.3013,True,87,26
1368,0.2,0.05,frozen,0,prior,0.6,0.1458,0.005811726,0.0,0.0173,0.2185,0.225,0.0247,0.0301,0.0331,0.7796,0.977,0.0,False,0,0
1368,0.2,0.05,frozen,1,model,0.6198,0.0609,0.0330742977,-0.0029766911,0.0394,0.3757,0.3373,0.0195,0.041,0.0032,0.9943,0.9474,0.42,True,79,35
1368,0.2,0.05,frozen,2,model,0.6152,0.0459,0.0383146254,-0.0015621346,0.0588,0.3813,0.3463,0.0241,0.0479,0.0052,0.9947,0.9196,0.4562,True,61,22
1368,0.2,0.05,frozen,3,model,0.6242,0.0501,0.0363080484,-0.0015269482,0.0385,0.3882,0.3626,0.0158,0.0511,0.0031,0.9951,0.9461,0.4506,True,97,28
1368,0.2,0.05,frozen,4,model,0.616,0.0402,0.0383522332,-0.0019266546,0.0243,0.3865,0.373,0.0133,0.0495,0.001,0.9949,0.9523,0.4338,True,64,24
1368,0.2,0.05,frozen,5,model,0.6182,0.0477,0.0366505137,-0.0015123012,0.0346,0.3783,0.3549,0.0146,0.0484,0.0045,0.9939,0.9415,0.4062,True,73,24
