severity,n,mean,sd,n_positive,wilcoxon_W,wilcoxon_p,t_stat,t_p
0.4,25,0.012862077996472742,0.010171075136256756,22,314.0,1.6391277313232422e-06,6.322870406602047,7.74376481843638e-07
1.0,25,0.002379921198084263,0.003026865044877304,20,298.0,3.74913215637207e-05,3.9313302093069282,0.00031332067086090813
