seed,severity,naive_mae,gcomp_mae,naive_bias,gcomp_bias,naive_strong,gcomp_strong,strong_gap,overall_gap
1000,0.4,0.09121686416135488,0.08924719642992367,-0.028403127721932007,-0.03455225916688655,0.09854542531630565,0.1047659240687213,-0.0062204987524156485,0.0019696677314312155
1016,0.4,0.09283151700879504,0.08951178815153325,-0.03591574344464879,-0.04526576448259099,0.09658028223179957,0.08891632659183603,0.007663955639963541,0.0033197288572617834
1032,0.4,0.08625099211452203,0.08597360439847516,-0.015127139929809658,-0.0251670842716067,0.0864163744473757,0.09189456498273547,-0.005478190535359778,0.00027738771604686463
1048,0.4,0.09368036704168822,0.09157164197307578,-0.027157769103592577,-0.03271520509310286,0.07095830691259056,0.05499187321334218,0.015966433699248377,0.002108725068612441
1064,0.4,0.08651217245988849,0.08447286246392344,-0.030615845778590386,-0.03291539461412688,0.08504150449512214,0.07493238637058693,0.010109118124535216,0.0020393099959650496
1080,0.4,0.08690453264299694,0.08228444130763983,-0.015533896136375102,-0.022273248548739643,0.11350943082554286,0.09019574225203353,0.023313688573509336,0.00462009133535711
1096,0.4,0.08421414753263873,0.08077061473853696,-0.03671067295486135,-0.04203885057544201,0.08337039502759978,0.06268438691053313,0.020686008117066654,0.0034435327941017696
1112,0.4,0.07766126990759416,0.07698763516560322,-0.023094586652957102,-0.03156118263038802,0.11290886395396381,0.0994320919162312,0.013476772037732607,0.0006736347419909333
1128,0.4,0.07459746028307278,0.0740145285349326,-0.024531393362440444,-0.02314477774062431,0.0957779911667576,0.0909487069517128,0.0048292842150448045,0.0005829317481401836
1144,0.4,0.0810138090135336,0.07952356869551395,-0.021368639416402824,-0.023185770020870966,0.08191011814762066,0.07529639599313954,0.006613722154481111,0.0014902403180196422
1160,0.4,0.07938128896148654,0.07747926564215495,-0.026011669822837813,-0.02743670484318315,0.11376562893947671,0.1064283399016911,0.007337289037785619,0.0019020233193315916
1176,0.4,0.1015041068381188,0.09625180604476825,-0.020362185788831668,-0.02470574017093312,0.12241180410347191,0.10410064875093064,0.01831115535254127,0.0052523007933505395
1192,0.4,0.09015855425167855,0.08578269593234734,-0.022299508553777984,-0.029482772207947674,0.10798580608882463,0.08459790621970732,0.02338789986911731,0.004375858319331211
1208,0.4,0.08180684905232337,0.08257439958239697,-0.023104604057041987,-0.0289513948764905,0.08692951762654844,0.07958227956496838,0.0073472380615800525,-0.0007675505300736019
1224,0.4,0.07330558896424902,0.06693903077846557,-0.010357028245648225,-0.02272615895654495,0.09563647342544752,0.07040685818442334,0.025229615241024184,0.0063665581857834525
1240,0.4,0.07449103528141152,0.07142171975631217,-0.014041881921583793,-0.01885138797297311,0.1291007213670857,0.10420965136968524,0.024891069997400456,0.003069315525099342
1256,0.4,0.08381200301912499,0.08575350814428627,-0.02137700943393402,-0.02405755294276671,0.07484382338265236,0.0784455701120679,-0.0036017467294155447,-0.0019415051251612803
1272,0.4,0.08594975782224537,0.08496306693400084,-0.012351150806975365,-0.01717520795033413,0.13290948492692695,0.11846764004569586,0.014441844881231083,0.0009866908882445319
1288,0.4,0.08061913993579412,0.07960741831733104,-0.0265172936066995,-0.034951079347361816,0.10644245342437811,0.08554997983235077,0.02089247359202734,0.0010117216184630795
1304,0.4,0.08692651072849898,0.08459163750207405,-0.02308084431339884,-0.029291781469124242,0.12025798812446063,0.10928882139697821,0.010969166727482424,0.0023348732264249356
1320,0.4,0.09061758320957554,0.0901290371858822,-0.026887877186323062,-0.032205239836728086,0.0986023037346348,0.09773286003224818,0.0008694437023866186,0.0004885460236933453
1336,0.4,0.09165899178743174,0.08940980813820759,-0.03711591660594924,-0.037514912638625636,0.12031299201973904,0.10925107294249707,0.011061919077241966,0.0022491836492241485
1352,0.4,0.08676826030429036,0.08216535173361081,-0.022710179349116674,-0.03426086719587331,0.11068162475174771,0.07810990851861341,0.032571716233134304,0.004602908570679548
1368,0.4,0.09246422752148596,0.08956516483470295,-0.031655168593705686,-0.03616994034382637,0.11416439950044205,0.09217422235811222,0.021990177142329828,0.0028990626867830133
1384,0.4,0.08003890963047149,0.07736334176406708,-0.026309661466672987,-0.03091426240078549,0.08848558870352373,0.07359319425137835,0.01489239445214538,0.0026755678664044102
1000,1.0,0.09907807445071722,0.09682318075551428,-0.027459343281697503,-0.029851032792747006,0.11444944434476513,0.10228049798920733,0.012168946355557805,0.002254893695202931
1016,1.0,0.10321025255586823,0.10349297432736884,-0.038740980645846475,-0.038426797444706604,0.10655224254015923,0.10546801571435616,0.0010842268258030724,-0.00028272177150061306
1032,1.0,0.09489677402186215,0.09473461813513395,-0.015575858843882498,-0.01611642717723693,0.10111019046198295,0.09776891890914267,0.0033412715528402803,0.00016215588672820191
1048,1.0,0.10246234285991859,0.1021747150764563,-0.0279393553624761,-0.028224660468332597,0.07114972959060456,0.07009086952254424,0.001058860068060316,0.0002876277834622937
1064,1.0,0.09140508337730292,0.09129037952501559,-0.030519417576739743,-0.030270155698603054,0.08691129742816667,0.08701136701422206,-0.00010006958605539296,0.00011470385228733171
1080,1.0,0.0941343671152027,0.09335502233063239,-0.01869576780198128,-0.019419134647294018,0.120917556448561,0.11805188052881323,0.002865675919747776,0.0007793447845703128
1096,1.0,0.09163694399783055,0.09119087462553949,-0.04165255854823665,-0.04260708361180475,0.09053297488194294,0.0854375551410838,0.005095419740859142,0.00044606937229106636
1112,1.0,0.08651864063770161,0.08635639492214313,-0.027229650240625954,-0.02772844539533856,0.11866576701291216,0.11760301959141907,0.0010627474214930932,0.0001622457155584789
1128,1.0,0.07899445973717414,0.07882526949050485,-0.024838246913776407,-0.02542265914996194,0.0984712350902676,0.09704958285735915,0.0014216522329084519,0.00016919024666929572
1144,1.0,0.08817129948123774,0.08813229200779897,-0.025902743497496054,-0.02616046081661519,0.08385228632636695,0.08310901650675774,0.0007432698196092047,3.900747343876798e-05
1160,1.0,0.08556615278339677,0.08513366680711888,-0.028508497525689812,-0.02887796295639008,0.10524778196756748,0.10275537842955786,0.002492403538009627,0.0004324859762778882
1176,1.0,0.10894912688550024,0.10793536013265397,-0.02041890960327501,-0.021508209054340935,0.12849077344957657,0.12236979943037507,0.006120974019201503,0.0010137667528462707
1192,1.0,0.09927847207585018,0.09909100798121383,-0.027277258390241907,-0.02689265842589409,0.11501275946342826,0.11313107601400718,0.0018816834494210788,0.0001874640946363526
1208,1.0,0.09123777490516617,0.09103553837419766,-0.029939704791375393,-0.02964974119351137,0.09174757307818081,0.09117409285222568,0.0005734802259551308,0.00020223653096851368
1224,1.0,0.07938878051967022,0.07798849455484821,-0.01547551919287413,-0.017528372661166306,0.09738517634239177,0.08990404580898463,0.00748113053340714,0.0014002859648220012
1240,1.0,0.08234336762187974,0.08189590674402898,-0.017673979007393634,-0.017884082923034266,0.1371492492990553,0.1356468047300371,0.001502444569018213,0.00044746087785076105
1256,1.0,0.08918165275826206,0.08884270928811307,-0.027817432815349867,-0.029106919708799073,0.08264260331217603,0.08510879789496771,-0.002466194582791681,0.0003389434701489974
1272,1.0,0.09211680206287368,0.09171166417566616,-0.018441627260790783,-0.01913095692126053,0.14121502243336584,0.14134118650782065,-0.00012616407445481537,0.00040513788720751565
1288,1.0,0.09295296147287285,0.09247828479899921,-0.017529805755545903,-0.018302490525297956,0.12374860220760442,0.1211358334120529,0.002612768795551515,0.00047467667387364465
1304,1.0,0.08873509668983139,0.08820221905628686,-0.0238513729015928,-0.02419112802075267,0.12442384585450365,0.12253534568743928,0.0018885001670643775,0.0005328776335445234
1320,1.0,0.09598847092504478,0.09540459452887118,-0.026948559009652408,-0.02783078764909218,0.11111976639698384,0.10596687486918464,0.0051528915277992,0.0005838763961736049
1336,1.0,0.1002748155410259,0.10034304443288862,-0.039188865961924224,-0.03952399238001688,0.11909219765662246,0.1198643826859742,-0.0007721850293517379,-6.822889186272607e-05
1352,1.0,0.09446821610614102,0.09367770805328327,-0.024571436265282236,-0.02518460945855573,0.10971614817397819,0.10973074592274845,-1.4597748770259211e-05,0.0007905080528577552
1368,1.0,0.10087204262811342,0.10035575445397248,-0.02446864182064145,-0.02510936846119151,0.11092309326598107,0.10751826418844351,0.003404829077537558,0.0005162881741409414
1384,1.0,0.08386862297714967,0.0836252667715396,-0.02554068126290157,-0.025830050260177477,0.08943568820012926,0.08841162306644329,0.0010240651336859696,0.00024335620561007076
