seed,severity,naive_mae,gcomp_mae,naive_bias,gcomp_bias,naive_strong,gcomp_strong,strong_gap,overall_gap
7,0.6,0.08647184745066568,0.0850069992402322,-0.02357282863011735,-0.02404769899327392,0.12047061686192705,0.12418621184161813,-0.003715594979691081,0.001464848210433481
13,0.6,0.09400393193284698,0.09096493857242029,-0.023685735746202884,-0.02807204230736542,0.09138035322945137,0.07610698557895064,0.015273367650500733,0.003038993360426692
42,0.6,0.08936667778263035,0.08905927537644895,-0.025296595596440985,-0.02689071287495573,0.07225566069518073,0.07037319809075844,0.0018824626044222914,0.00030740240618140624
101,0.6,0.08846792758401006,0.08614463258580256,-0.02463206284530064,-0.025264358932147537,0.1191474260694676,0.1037433768011623,0.015404049268305298,0.0023232949982075063
2026,0.6,0.09123608334203256,0.09199274980881218,-0.041988320895776955,-0.04286617223079151,0.09302441492652265,0.09218977674408435,0.0008346381824382992,-0.000756666466779618
7,0.8,0.0876246416621797,0.08716831649043286,-0.023952135050384283,-0.02464605586006273,0.12042929641483512,0.11840420725663375,0.0020250891582013625,0.0004563251717468464
13,0.8,0.09633001022772712,0.0949902811283517,-0.01761501832023923,-0.018922072212462667,0.09191138634996893,0.08698046793279061,0.004930918417178312,0.0013397290993754224
42,0.8,0.09241163641331682,0.09038965415678474,-0.023324065103655773,-0.0266822736766426,0.0782657929265017,0.06889771117192443,0.009368081754577262,0.002021982256532079
101,0.8,0.09050387005556507,0.08908583880567425,-0.025909642362182763,-0.02718495113378031,0.1258291952402537,0.12002761526432448,0.0058015799759292275,0.0014180312498908165
2026,0.8,0.09265141621133374,0.09254484436958164,-0.038266848756335375,-0.03843204877645065,0.0998599577685235,0.09716729219905726,0.002692665569466235,0.00010657184175209833
