generator,seed,selection_severity,n_train_declines,n_eval_declines,method,declined_ece,declined_auc,declined_brier
flat,2026,0.2,600,600,fuzzy_augmentation,0.0324,0.7005,0.1404
flat,2026,0.2,600,600,parcelling,0.0365,0.7196,0.1412
flat,2026,0.4,600,600,naive,0.0825,0.6926,0.1847
flat,2026,0.4,600,600,ipw,0.0813,0.693,0.1814
flat,2026,0.4,600,600,reclassification,0.1175,0.6834,0.1902
flat,2026,0.4,600,600,augmentation,0.0954,0.6842,0.1879
flat,2026,0.4,600,600,fuzzy_augmentation,0.091,0.712,0.1833
flat,2026,0.4,600,600,parcelling,0.085,0.7061,0.1828
flat,2026,0.6,600,600,naive,0.2145,0.6124,0.2549
flat,2026,0.6,600,600,ipw,0.1868,0.5618,0.2427
flat,2026,0.6,600,600,reclassification,0.2469,0.5081,0.2723
flat,2026,0.6,600,600,augmentation,0.2116,0.5745,0.2537
flat,2026,0.6,600,600,fuzzy_augmentation,0.2157,0.6295,0.253
flat,2026,0.6,600,600,parcelling,0.1579,0.5998,0.2324
flat,2026,0.8,600,600,naive,0.2486,0.616,0.2738
flat,2026,0.8,600,600,ipw,0.2493,0.6211,0.2733
flat,2026,0.8,600,600,reclassification,0.2736,0.5087,0.2898
flat,2026,0.8,600,600,augmentation,0.2476,0.5989,0.2735
flat,2026,0.8,600,600,fuzzy_augmentation,0.2548,0.5763,0.2798
flat,2026,0.8,600,600,parcelling,0.1874,0.6034,0.2408
flat,2026,1.0,600,600,naive,0.2357,0.5386,0.264
flat,2026,1.0,600,600,ipw,0.2332,0.5646,0.2624
flat,2026,1.0,600,600,reclassification,0.2597,0.5051,0.277
flat,2026,1.0,600,600,augmentation,0.2356,0.5442,0.2643
flat,2026,1.0,600,600,fuzzy_augmentation,0.2413,0.4946,0.2676
flat,2026,1.0,600,600,parcelling,0.2068,0.5465,0.2514
scm,7,0.0,600,600,naive,0.0355,0.8644,0.1048
scm,7,0.0,600,600,ipw,0.031,0.857,0.1052
scm,7,0.0,600,600,reclassification,0.0549,0.8523,0.105
scm,7,0.0,600,600,augmentation,0.0362,0.857,0.1045
scm,7,0.0,600,600,fuzzy_augmentation,0.0302,0.8637,0.1015
scm,7,0.0,600,600,parcelling,0.0495,0.8506,0.1055
scm,7,0.2,600,600,naive,0.0599,0.8184,0.1324
scm,7,0.2,600,600,ipw,0.0609,0.8121,0.131
scm,7,0.2,600,600,reclassification,0.0877,0.8231,0.1334
scm,7,0.2,600,600,augmentation,0.058,0.8177,0.1313
scm,7,0.2,600,600,fuzzy_augmentation,0.0394,0.8242,0.127
scm,7,0.2,600,600,parcelling,0.0747,0.8142,0.1357
scm,7,0.4,600,600,naive,0.1429,0.8201,0.181
scm,7,0.4,600,600,ipw,0.1154,0.8197,0.1698
scm,7,0.4,600,600,reclassification,0.1373,0.8054,0.1788
scm,7,0.4,600,600,augmentation,0.1357,0.8198,0.176
scm,7,0.4,600,600,fuzzy_augmentation,0.1464,0.8248,0.1766
scm,7,0.4,600,600,parcelling,0.107,0.8216,0.1648
scm,7,0.6,600,600,naive,0.2551,0.671,0.277
scm,7,0.6,600,600,ipw,0.2213,0.6621,0.2616
scm,7,0.6,600,600,reclassification,0.2822,0.6812,0.2924
scm,7,0.6,600,600,augmentation,0.2418,0.681,0.2729
scm,7,0.6,600,600,fuzzy_augmentation,0.2458,0.7115,0.2675
scm,7,0.6,600,600,parcelling,0.1946,0.7112,0.2407
scm,7,0.8,600,600,naive,0.3669,0.5377,0.3712
scm,7,0.8,600,600,ipw,0.3532,0.4883,0.3633
scm,7,0.8,600,600,reclassification,0.3728,0.5181,0.3766
scm,7,0.8,600,600,augmentation,0.3659,0.5286,0.3705
scm,7,0.8,600,600,fuzzy_augmentation,0.3555,0.578,0.3612
scm,7,0.8,600,600,parcelling,0.3512,0.5601,0.3598
scm,7,1.0,600,600,naive,0.3986,0.5571,0.4013
scm,7,1.0,600,600,ipw,0.4019,0.5425,0.4042
scm,7,1.0,600,600,reclassification,0.4076,0.48,0.4097
scm,7,1.0,600,600,augmentation,0.3992,0.5452,0.4017
scm,7,1.0,600,600,fuzzy_augmentation,0.3921,0.5769,0.3949
scm,7,1.0,600,600,parcelling,0.3906,0.5631,0.3937
scm,42,0.0,600,600,naive,0.0239,0.8691,0.0867
scm,42,0.0,600,600,ipw,0.0237,0.8692,0.0861
scm,42,0.0,600,600,reclassification,0.0153,0.8714,0.0856
scm,42,0.0,600,600,augmentation,0.0207,0.8724,0.0861
scm,42,0.0,600,600,fuzzy_augmentation,0.027,0.8761,0.0852
scm,42,0.0,600,600,parcelling,0.0312,0.8717,0.0864
scm,42,0.2,600,600,naive,0.0327,0.8587,0.1148
scm,42,0.2,600,600,ipw,0.0216,0.8542,0.1168
scm,42,0.2,600,600,reclassification,0.0549,0.8597,0.1112
scm,42,0.2,600,600,augmentation,0.0342,0.862,0.1123
scm,42,0.2,600,600,fuzzy_augmentation,0.0439,0.8728,0.113
scm,42,0.2,600,600,parcelling,0.0506,0.8593,0.1167
scm,42,0.4,600,600,naive,0.0789,0.7861,0.1598
scm,42,0.4,600,600,ipw,0.0743,0.7816,0.1587
scm,42,0.4,600,600,reclassification,0.1375,0.7836,0.1756
scm,42,0.4,600,600,augmentation,0.0898,0.7819,0.1633
scm,42,0.4,600,600,fuzzy_augmentation,0.0936,0.8015,0.1591
scm,42,0.4,600,600,parcelling,0.0819,0.7977,0.1557
scm,42,0.6,600,600,naive,0.2218,0.697,0.25
scm,42,0.6,600,600,ipw,0.2104,0.6875,0.2472
scm,42,0.6,600,600,reclassification,0.3038,0.6069,0.3144
scm,42,0.6,600,600,augmentation,0.226,0.6966,0.2521
scm,42,0.6,600,600,fuzzy_augmentation,0.2407,0.7132,0.2614
scm,42,0.6,600,600,parcelling,0.1525,0.7395,0.2122
scm,42,0.8,600,600,naive,0.3404,0.6267,0.3468
scm,42,0.8,600,600,ipw,0.3371,0.6165,0.3431
scm,42,0.8,600,600,reclassification,0.373,0.5281,0.3772
scm,42,0.8,600,600,augmentation,0.3534,0.633,0.3563
scm,42,0.8,600,600,fuzzy_augmentation,0.3473,0.6806,0.3523
scm,42,0.8,600,600,parcelling,0.2539,0.6547,0.2863
scm,42,1.0,600,600,naive,0.3688,0.5688,0.3718
scm,42,1.0,600,600,ipw,0.363,0.5443,0.3673
scm,42,1.0,600,600,reclassification,0.3751,0.507,0.3774
scm,42,1.0,600,600,augmentation,0.3672,0.5673,0.3701
scm,42,1.0,600,600,fuzzy_augmentation,0.3662,0.6219,0.37
scm,42,1.0,600,600,parcelling,0.349,0.6124,0.3522
scm,2026,0.0,600,600,naive,0.0274,0.8441,0.1023
scm,2026,0.0,600,600,ipw,0.0345,0.8467,0.0995
scm,2026,0.0,600,600,reclassification,0.0316,0.855,0.0998
scm,2026,0.0,600,600,augmentation,0.0318,0.8492,0.0993
scm,2026,0.0,600,600,fuzzy_augmentation,0.0338,0.8528,0.1003
scm,2026,0.0,600,600,parcelling,0.0343,0.8624,0.0959
scm,2026,0.2,600,600,naive,0.0656,0.8605,0.127
scm,2026,0.2,600,600,ipw,0.0477,0.8618,0.123
scm,2026,0.2,600,600,reclassification,0.0727,0.8535,0.1325
scm,2026,0.2,600,600,augmentation,0.0559,0.8591,0.1296
scm,2026,0.2,600,600,fuzzy_augmentation,0.0534,0.8531,0.127
scm,2026,0.2,600,600,parcelling,0.0514,0.8355,0.1312
scm,2026,0.4,600,600,naive,0.1193,0.7892,0.1823
scm,2026,0.4,600,600,ipw,0.1191,0.7906,0.1801
scm,2026,0.4,600,600,reclassification,0.2118,0.7683,0.2311
scm,2026,0.4,600,600,augmentation,0.1302,0.7892,0.1855
scm,2026,0.4,600,600,fuzzy_augmentation,0.1308,0.7912,0.1915
scm,2026,0.4,600,600,parcelling,0.0979,0.8057,0.1692
scm,2026,0.6,600,600,naive,0.3156,0.7131,0.3215
scm,2026,0.6,600,600,ipw,0.2826,0.673,0.3087
scm,2026,0.6,600,600,reclassification,0.3455,0.6495,0.3522
scm,2026,0.6,600,600,augmentation,0.3134,0.676,0.3233
scm,2026,0.6,600,600,fuzzy_augmentation,0.3301,0.6984,0.3333
scm,2026,0.6,600,600,parcelling,0.2188,0.7368,0.2508
scm,2026,0.8,600,600,naive,0.3875,0.5418,0.3914
scm,2026,0.8,600,600,ipw,0.3901,0.5177,0.3964
scm,2026,0.8,600,600,reclassification,0.4019,0.518,0.4048
scm,2026,0.8,600,600,augmentation,0.388,0.535,0.392
scm,2026,0.8,600,600,fuzzy_augmentation,0.3927,0.5978,0.3947
scm,2026,0.8,600,600,parcelling,0.3872,0.5823,0.3912
scm,2026,1.0,600,600,naive,0.3651,0.631,0.3694
scm,2026,1.0,600,600,ipw,0.365,0.5736,0.3703
scm,2026,1.0,600,600,reclassification,0.3781,0.5014,0.382
scm,2026,1.0,600,600,augmentation,0.3628,0.5909,0.3679
scm,2026,1.0,600,600,fuzzy_augmentation,0.3705,0.5951,0.3746
scm,2026,1.0,600,600,parcelling,0.3324,0.6393,0.3399
