seed,severity,naive_mae,gcomp_mae,naive_bias,gcomp_bias,naive_strong,gcomp_strong,strong_gap,overall_gap
3,0.4,0.0741473914447575,0.0726995236161937,-0.0101356719798742,-0.0184704484919323,0.1102145029119236,0.0968014721906968,0.0134130307212267,0.0014478678285638
5,0.4,0.0857543409927372,0.0804085663353035,-0.0214476240111859,-0.0235893546196929,0.0904218205949337,0.0726001407130026,0.017821679881931,0.0053457746574337
7,0.4,0.0781140297297139,0.0748718720734441,-0.0230159568209619,-0.024489948690627,0.1083186659988686,0.0949972057314985,0.0133214602673701,0.0032421576562698
11,0.4,0.0807126219581783,0.0819788107967382,-0.035504226015638,-0.0447882860076405,0.0977237028385605,0.0938623839243918,0.0038613189141687,-0.0012661888385599
13,0.4,0.0909563108644431,0.08700904007735,-0.0156625068231324,-0.0202789211161541,0.0984940548668683,0.0815727654771203,0.0169212893897479,0.0039472707870931
17,0.4,0.0863096958135821,0.0831902812374639,-0.0242769449370373,-0.02952519477652,0.1218905126805131,0.102720605421111,0.019169907259402,0.0031194145761181
19,0.4,0.0921445659169831,0.0909683937113677,-0.0316227941748247,-0.0345552403384701,0.0992888647333907,0.0946381856670954,0.0046506790662953,0.0011761722056153
23,0.4,0.0755385580352676,0.0733897861538009,-0.0284936217797139,-0.0318511684751153,0.063633360405938,0.067776134838216,-0.004142774432278,0.0021487718814666
29,0.4,0.0840530536048293,0.0830123748655406,-0.026777755012444,-0.0408266748435085,0.1221291364975619,0.0913295910121144,0.0307995454854475,0.0010406787392887
31,0.4,0.0758695819643344,0.0756920423605575,-0.0325066256454015,-0.0329432421423486,0.0644555192813176,0.0511235150788692,0.0133320042024484,0.0001775396037769
37,0.4,0.0876796715520337,0.0856203432694168,-0.0183553053046382,-0.0236144951729916,0.1082934845295897,0.0989355421789342,0.0093579423506554,0.0020593282826169
41,0.4,0.0851362737740263,0.0833776289544604,-0.0192076129775347,-0.0294650462337191,0.0955506116221374,0.0739432151436547,0.0216073964784826,0.0017586448195659
42,0.4,0.0871603098708355,0.0842186660121909,-0.0218979232838184,-0.0233221264032155,0.0713766617722684,0.0634943554163697,0.0078823063558987,0.0029416438586445
43,0.4,0.0841775679477623,0.0816423327999839,-0.0204808171362394,-0.0247067360202166,0.0802852385539188,0.0680574486821541,0.0122277898717646,0.0025352351477784
47,0.4,0.0873432027924718,0.0885499934861554,-0.0281333178710906,-0.0343753216931149,0.0867635602413235,0.0859303799089295,0.0008331803323939,-0.0012067906936836
53,0.4,0.0857431606051666,0.0823151455133877,-0.0269848472872101,-0.029809893237733,0.1145812695515031,0.0951882005594351,0.019393068992068,0.0034280150917789
59,0.4,0.0893595577145511,0.0854967146839656,-0.0209555885339885,-0.0258816812797484,0.1212024018446207,0.0965538397759806,0.0246485620686401,0.0038628430305855
61,0.4,0.0879089047838682,0.0871449124679315,-0.0288855912883801,-0.0373286389931119,0.0846043555822622,0.0801292409527513,0.0044751146295108,0.0007639923159366
67,0.4,0.0691258749863248,0.068468331961354,-0.0248255045776523,-0.0296016501218098,0.0820316401145684,0.0661390433769693,0.015892596737599,0.0006575430249708
71,0.4,0.09120775966308,0.0874629113553509,-0.0150472458289217,-0.0221740011152799,0.1373997797000737,0.114003162924827,0.0233966167752467,0.0037448483077291
73,0.4,0.0897827950289512,0.0870262531921271,-0.0240725902244123,-0.0296928617333575,0.1156207018486617,0.1040774051560314,0.0115432966926302,0.002756541836824
79,0.4,0.0808293565328493,0.0798987500677955,-0.023228430036742,-0.0232671054872619,0.0891737479557134,0.0840334825934055,0.0051402653623078,0.0009306064650538
83,0.4,0.0823293483036007,0.0801685228548991,-0.0294488660945794,-0.0337981279222221,0.0977826859807818,0.0772936165931234,0.0204890693876583,0.0021608254487016
101,0.4,0.0850529293261278,0.0846751481312965,-0.0196589483713261,-0.0245149107294759,0.1204199631310213,0.0979220036834399,0.0224979594475814,0.0003777811948313
2026,0.4,0.0855394590614195,0.0864015133474223,-0.0381600295084213,-0.0446530427507149,0.0960014085477551,0.09025425364772,0.0057471549000351,-0.0008620542860028
3,1.0,0.0836582235214561,0.0845606123884757,-0.0128444932656576,-0.0134891198308205,0.1218375286439501,0.1232746795152509,-0.0014371508713008,-0.0009023888670195
5,1.0,0.0908586599701032,0.0907488529321797,-0.025277317281424,-0.0258477259245529,0.093030364997312,0.092674038110957,0.000356326886355,0.0001098070379234
7,1.0,0.0881532031085991,0.0884968184939657,-0.0248423767281706,-0.0245064751723157,0.1223368915041195,0.1218790590298464,0.000457832474273,-0.0003436153853666
11,1.0,0.0858598829105365,0.0862962229882447,-0.0275906344739679,-0.0271947283486032,0.103797211744475,0.1050792297125478,-0.0012820179680728,-0.0004363400777081
13,1.0,0.1007360265941901,0.1006736003938791,-0.0186409482344658,-0.0187054498667007,0.0957811215207865,0.0953414107527583,0.0004397107680281,6.242620031093882e-05
17,1.0,0.0897518795455916,0.0891025401592656,-0.0208382999264987,-0.0214291220954939,0.1138003890020207,0.11077990650467,0.0030204824973507,0.000649339386326
19,1.0,0.0985645222246014,0.097659919466586,-0.0302065152052814,-0.0307700197080082,0.1049667962038344,0.1031050714407576,0.0018617247630767,0.0009046027580154
